subject	locus	est_counts	tpm
sample_18	HLA-DPA1	7180.01797	363.360517
sample_18	HLA-DPB1	12088.030254	553.598659
sample_18	HLA-DQA1	12275.592075999999	684.905607
sample_18	HLA-DQB1	5138.830067000001	99.517755
sample_18	HLA-DRA	52955.132538	1530.635638
sample_18	HLA-DRB1	23726.712817	696.7946450000001
sample_18	HLA-DRB5	16219.054108	417.347171
sample_18	HLA-E	19435.909008	358.818507
sample_18	HLA-F	3223.432522	76.600493
sample_18	HLA-G	68.95432600000001	1.647498
sample_19	HLA-A	13150.459578	258.47022
sample_19	HLA-B	14518.103274	307.96669099999997
sample_19	HLA-C	12207.672840000001	342.517315
sample_19	HLA-DMA	1609.002038	69.572588
sample_19	HLA-DMB	441.350034	11.525099
sample_19	HLA-DOA	296.000375	2.784059
sample_19	HLA-DOB	372.012223	12.015326
sample_19	HLA-DPA1	7480.009476	388.731394
sample_19	HLA-DPB1	6674.008455	341.557924
sample_19	HLA-DQA1	5299.016575	499.26847799999996
sample_19	HLA-DQB1	3379.985273	69.986244
sample_19	HLA-DRA	20580.026073	613.011927
sample_19	HLA-DRB1	5788.891062	229.473809
sample_19	HLA-DRB5	2538.400594	69.939921
sample_19	HLA-E	3217.174516	64.10718800000001
sample_19	HLA-F	1527.862484	39.840810000000005
sample_19	HLA-G	56.681816999999995	1.736111
sample_20	HLA-A	33598.347999	648.4785439999999
sample_20	HLA-B	49355.96667	1017.423669
sample_20	HLA-C	20448.282528	481.799539
sample_20	HLA-DMA	1375.022559	61.552104
sample_20	HLA-DMB	441.865169	11.83922
sample_20	HLA-DOA	113.001854	1.096918
sample_20	HLA-DOB	139.796492	3.920145
sample_20	HLA-DPA1	5917.097077	329.54208700000004
sample_20	HLA-DPB1	5587.091663	276.845842
sample_20	HLA-DQA1	3864.5175480000003	367.249348
sample_20	HLA-DQB1	2988.027936	63.309898
sample_20	HLA-DRA	15368.252135	479.587507
sample_20	HLA-DRB1	4393.179006	174.493051
sample_20	HLA-DRB5	1990.869672	55.702558
sample_20	HLA-E	8393.218122	163.682064
sample_20	HLA-F	5703.597151	144.238465
sample_20	HLA-G	62.341078	1.637432
sample_21	HLA-A	32059.869406	175.548541
sample_21	HLA-B	28574.130496	163.187231
sample_21	HLA-C	14984.54146	126.55589
sample_21	HLA-DMA	954.001559	11.001876
sample_21	HLA-DMB	310.512483	2.082575
sample_21	HLA-DOA	354.000579	1.7197870000000002
sample_21	HLA-DOB	250.403363	2.0294499999999998
sample_21	HLA-DPA1	4899.008004	87.801898
sample_21	HLA-DPB1	4796.007837	70.56056
sample_21	HLA-DQA1	7921.857785	228.429556
sample_21	HLA-DQB1	5800.986152	32.929317999999995
sample_21	HLA-DRA	12008.01962	93.29911
sample_21	HLA-DRB1	11037.122899	99.83727300000001
sample_21	HLA-DRB5	2263.495551	16.707376
sample_21	HLA-E	7112.610639	48.404529999999994
sample_21	HLA-F	1466.85998	11.870844
sample_21	HLA-G	57.352295	0.419358
sample_22	HLA-A	53984.436329000004	1121.390387
sample_22	HLA-B	69356.234862	1524.724307
sample_22	HLA-C	21565.62667	576.296048
sample_22	HLA-DMA	2130.019324	95.037611
sample_22	HLA-DMB	840.560144	23.215917
sample_22	HLA-DOA	514.004663	8.391616
sample_22	HLA-DOB	118.0178	3.957395
sample_22	HLA-DPA1	17890.162301	746.19626
sample_22	HLA-DPB1	8758.079453	484.015927
sample_22	HLA-DQA1	12774.105577	1334.153551
sample_22	HLA-DQB1	6609.924626	145.150174
sample_22	HLA-DRA	42879.389006	1349.284118
sample_22	HLA-DRB1	15886.433791	578.4302270000001
sample_22	HLA-DRB5	8325.659272	245.307414
sample_22	HLA-E	8164.746934	177.05981300000002
sample_22	HLA-F	2675.9492269999996	74.088358
sample_22	HLA-G	113.29577	3.465185
sample_23	HLA-A	31739.153391	593.4575719999999
sample_23	HLA-B	60947.163586999995	1206.728698
sample_23	HLA-C	20865.784159	436.56895499999996
sample_23	HLA-DMA	4482.0073250000005	176.577177
sample_23	HLA-DMB	1779.634654	44.401762
